#;NAME;PSRJ;RAJ;DECJ;PMRA;PMDEC;PX;POSEPOCH;ELONG;ELAT;PMELONG;PMELAT;Gl;Gb;RAJD;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;DM1;RM;W50;W10;UNITS;TAU_SC;S400;S1400;S2000;BINARY;T0;PB;A1;OM;ECC;TASC;EPS1;EPS2;Minimum;Median;BINCOMP;DIST;DIST_DM;DMsin(b);ZZ;XX;YY;ASSOC;SURVEY;OSURVEY;DISC.;PSR;NGLT;
1;J0002+6216;J0002+6216;00:02:58.1;+62:16:09.4;;;;55806.00;37.547;54.067;;;117.327;-0.074;0.74237500;62.26927778;0.115364;5.97e-15;8.668248;-4.484e-13;;;55806.00;218.60;;;;;TDB;;;0.02;;;;;;;;;;;;;;6.357;6.357;-0.28;-0.008;5.648;11.418;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_;FermiBlind;000004000000;2017;HE[wcp+18];;
2;J0006+1834;J0006+1834;00:06:04.8;+18:34:59;;;;49079.50;8.986;16.402;;;108.172;-42.985;1.52000000;18.58305556;0.693748;2.10e-15;1.441446;-4.357e-15;;;49079.50;11.41;;-20.00;82.000;195.000;TDB;;0.20;;;;;;;;;;;;;;;0.860;0.860;-7.78;-0.586;0.598;8.696;;ar4;000000020000;1996;;;
3;J0007+7303;J0007+7303;00:07:01.7;+73:03:07.4;;;;54952.00;53.145;60.936;;;119.660;10.463;1.75708333;73.05205556;0.315873;3.60e-13;3.165827;-3.612e-12;4.100e-23;5.400e-30;54952.00;;;;;;TDB;;;;;;;;;;;;;;;;;1.400;;;0.254;1.196;9.181;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;FermiBlind;000004000000;2009;NRAD[aab+22];1;
4;J0011+08;J0011+08;00:11:34;+08:10;;;;57022.00;5.909;6.342;;;106.228;-53.407;2.89166667;8.16666667;2.552870;;0.391716;;;;57022.00;24.90;;;28.000;;TDB;;;;;;;;;;;;;;;;;5.399;5.399;-19.99;-4.335;3.090;9.399;;ar327;001000000000;2016;;;
5;J0012+5431;J0012+5431;00:12:23.3;+54:31:47;;;;58912.00;31.330;47.285;;;117.231;-7.909;3.09708333;54.52972222;3.025301;1.28e-16;0.330546;-1.400e-17;;;58912.00;131.30;;;;;TDB;;;;;;;;;;;;;;;;;5.425;5.425;-18.07;-0.746;4.778;10.959;;chime;200000000000;2023;RRAT[dcm+23];;
6;B0011+47;J0014+4746;00:14:17.7;+47:46:33.4;19.300;-19.700;;49664.00;26.403;41.510;;;116.497;-14.631;3.57395833;47.77594444;1.240699;5.64e-16;0.805997;-3.667e-16;7.300e-28;;49664.00;30.41;;-15.56;88.700;142.500;TDB;0.00;14.00;3.00;;;;;;;;;;;;;;1.776;1.776;-7.68;-0.449;1.538;9.267;;gb1,gb2,gb3,lotaas;020000000260;1978;;;
7;J0021-0909;J0021-0909;00:21:51.4;-09:09:58.7;;;;58388.00;1.334;-10.577;;;100.291;-70.726;5.46445833;-9.16630556;2.314131;1.04e-15;0.432128;-1.940e-16;;;58388.00;25.20;;-15.00;23.800;42.700;TDB;;;0.13;;;;;;;;;;;;;;25.000;25.000;-23.79;-23.599;8.119;9.974;;fast_crafts;040000000000;2020;;;
8;J0023+0923;J0023+0923;00:23:16.8;+09:23:23.8;-12.435;-6.160;0.550;56845.00;9.070;6.309;-13.860;-0.700;111.383;-52.849;5.82032291;9.38996121;0.003050;1.14e-20;327.847021;-1.228e-15;;;56845.00;14.32;;-5.10;;;TDB;0.00;2.90;0.73;;ELL1;;0.1388;0.0348;115.11;7.068e-06;56845.0408;6.400e-06;-3.000e-06;0.0164;0.0189;UL[hrm+11];1.818;1.247;-11.42;-1.449;1.022;8.900;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+1;FermiAssoc;000020000000;2011;HE;;
9;J0024-7204aa;J0024-7204aa;00:24:05.6;-72:04:52.6;5.252;-2.551;0.232;57022.00;311.252;-62.353;;;305.895;-44.889;6.02362500;-72.08128333;0.001840;;543.478261;;;;57022.00;24.92;;28.90;;;TDB;;;;;;;;;;;;;;;;;4.521;2.675;-17.59;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];misc;000000400000;2016;;;
10;J0024-7204ab;J0024-7204ab;00:24:08.1;-72:04:47.6;5.252;-2.551;0.232;51600.00;311.259;-62.355;;;305.891;-44.891;6.03400625;-72.07988944;0.003705;9.82e-21;269.931798;-7.155e-16;-8.000e-27;;51600.00;24.33;;26.40;;;TDB;;;;;;;;;;;;;;;;;4.521;2.530;-17.17;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];misc;000000400000;2016;;;
