#;NAME;RAJD;DECJD;P0;P1;F0;ASSOC;
1;J0007+7303;1.75708333;73.05205556;0.315873;3.60e-13;3.165827;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;
2;J0205+6449;31.40801029;64.82814842;0.065716;1.94e-13;15.217011;GRS:4FGL_J0205.7+6449[aab+22],SNR:PWN:3C;
3;J0525-6607;81.50375000;-66.07675000;8.047000;6.50e-11;0.124270;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];
4;B0531+21;83.63322083;22.01446111;0.033392;4.21e-13;29.946923;GRS:4FGL_J0534.5+2200[aab+22],SNR:PWN:Cr;
5;J0537-6910;84.44756667;-69.17218889;0.016122;5.18e-14;62.026190;EXGAL:LMC,SNR:N157B;
6;J0538+2817;84.60440500;28.28587806;0.143158;3.67e-15;6.985276;SNR:S147[acj+96];
7;B0540-69;85.04667500;-69.33171389;0.050570;4.79e-13;19.774686;GRS:4FGL_J0540.3-6920[aab+22],EXGAL:LMC,;
8;J0554+3107;88.52087500;31.12805556;0.464961;1.43e-13;2.150718;GRS:4FGL_J0554.1+3107[aab+22],SNR:G179.0;
9;J0633+0632;98.43420833;6.54302778;0.297395;7.96e-14;3.362529;GRS:4FGL_J0633.7+0632[aab+22],XRS:Swift_;
10;B0656+14;104.95081667;14.23872222;0.384929;5.49e-14;2.597884;GRS:4FGL_J0659.7+1416[aab+22],SNR:Monoge;
11;J0821-4300;125.48902208;-43.00474278;0.112799;9.28e-18;8.865291;SNR:PUPPIS_A,XRS:RX_J0822-4300;
12;B0833-45;128.83588121;-45.17635419;0.089328;1.25e-13;11.194650;GRS:4FGL_J0835.3-4510[aab+22],SNR:Vela,G;
13;J0855-4644;133.90075000;-46.73705556;0.064686;7.26e-15;15.459264;SNR:RX_J0852.0-4622[rm05],PWN:[mav17,cbp;
14;B0906-49;137.14775000;-49.21805556;0.106769;1.51e-14;9.366011;GRS:4FGL_J0908.7-4911[aab+22],PWN:[gsfj9;
15;J1016-5857;154.08816667;-58.95336111;0.107386;8.08e-14;9.312161;GRS:4FGL_J1016.3-5857[aab+22],SNR:G284.3;
16;J1101-6101;165.43733333;-61.02766667;0.062800;8.56e-15;15.923547;SNR:G290.1-0.8(MSH_11-61A)[htg+14];
